date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:27:40	1557/1557	---M-Z	200	added ('OK')	text/plain	date:Tue,%2013%20Feb%202024%2016:26:43%20GMT	https://www.rennesautomobiles.com/robots.txt		(from )
02:27:41	41721/41721	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2001:27:39%20GMT	https://www.rennesautomobiles.com/	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/index.html	(from )
02:27:41	3132/3132	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jan%202024%2014:57:52%20GMT	https://www.rennesautomobiles.com/img/favicon.svg	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/img/favicon.svg	(from https://www.rennesautomobiles.com/)
02:27:42	1439/1439	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2014:57:52%20GMT	https://www.rennesautomobiles.com/img/favicon.png	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/img/favicon.png	(from https://www.rennesautomobiles.com/)
02:27:44	262624/262624	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2016:39:17%20GMT	https://www.rennesautomobiles.com/css/modules/webauto.css?id=65291e7c679ad1dfca89	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/css/modules/webauto9845.css	(from https://www.rennesautomobiles.com/)
02:27:45	261885/261885	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2016:39:12%20GMT	https://www.rennesautomobiles.com/css/home.css?id=766b159644862241f99a	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/css/homeac18.css	(from https://www.rennesautomobiles.com/)
02:27:45	89442/89442	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2015:00:56%20GMT	https://www.rennesautomobiles.com/img/logo-rennes-automobiles.svg	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/img/logo-rennes-automobiles.svg	(from https://www.rennesautomobiles.com/)
02:27:46	14457/14457	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2001:27:46%20GMT	https://www.rennesautomobiles.com/la-societe	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/la-societe.html	(from https://www.rennesautomobiles.com/)
02:27:47	12974/12974	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2001:27:47%20GMT	https://www.rennesautomobiles.com/services	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/services.html	(from https://www.rennesautomobiles.com/)
02:27:48	13283/13283	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2001:27:48%20GMT	https://www.rennesautomobiles.com/avis-verifies	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/avis-verifies.html	(from https://www.rennesautomobiles.com/)
02:27:49	267467/267467	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2001:27:49%20GMT	https://www.rennesautomobiles.com/vehicules-occasion-rennes	/Users/techtyme/Desktop/RennesAutomobiles/www.rennesautomobiles.com/vehicules-occasion-rennes.html	(from https://www.rennesautomobiles.com/)
